Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,477.0,18.0,19.0,1122.0,0.0,601.42932028205,601.42932028205,0.0,145.59797596931458,,,,,,,,,,,,,,,,204.69524318986316,199.00348150773837,598.138248910353,-0.03772446381390731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,493.0,19.0,16.0,1138.0,0.0,371.0905984366126,371.0905984366126,0.0,147.63865089416504,,,,,,,,,,,,,,,,115.18648477598107,118.73230933627177,369.6172319121091,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,519.0,20.0,26.0,1164.0,0.0,841.9079797045263,841.9079797045263,0.0,150.0301764011383,,,,,,,,,,,,,,,,331.22606780313316,262.391874819381,834.1302321738187,-0.03234962423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,45.0,1.0,45.0,1209.0,0.0,813.8632276809349,813.8632276809349,0.0,192.88229942321777,,,,,,,,,,,,,,,,187.44058666743237,241.2237960858717,806.234635916817,-0.17107393899185708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,85.0,2.0,40.0,1249.0,0.0,1356.965451700437,1356.965451700437,0.0,196.28162384033203,,,,,,,,,,,,,,,,555.1327452229476,420.26082973337265,1336.0962381296495,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,101.0,3.0,16.0,1265.0,0.0,442.1914856974814,442.1914856974814,0.0,198.02501344680786,,,,,,,,,,,,,,,,142.07951866795645,145.96756571962607,440.3585719707649,-0.03952266741210731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,181.0,4.0,80.0,1345.0,0.0,2349.9036878841075,2349.9036878841075,0.0,204.26851987838745,,,,,,,,,,,,,,,,1145.8074250487052,696.1964655522723,2260.4995934736853,-0.0466759627267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,231.0,5.0,50.0,1395.0,0.0,1616.8183780662803,1616.8183780662803,0.0,208.64871263504028,,,,,,,,,,,,,,,,666.9801253330347,459.19782603547134,1585.0544262258538,-0.025176597229970014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,263.0,6.0,32.0,1427.0,0.0,1122.9059463438102,1122.9059463438102,0.0,211.44710731506348,,,,,,,,,,,,,,,,474.15095386983495,350.3823005754213,1108.8419577777534,-0.03055142423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,277.0,7.0,14.0,1441.0,0.0,315.6413837165424,315.6413837165424,0.0,213.04155087471008,,,,,,,,,,,,,,,,91.84770263543301,103.58876697729065,314.6701860657122,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,329.0,8.0,52.0,1493.0,0.0,1768.1041230813398,1768.1041230813398,0.0,217.38571047782898,,,,,,,,,,,,,,,,731.8103510406468,543.3974286144936,1731.7817665938203,-0.0610202867729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,351.0,9.0,22.0,1515.0,0.0,602.40682931256,602.40682931256,0.0,219.51762413978577,,,,,,,,,,,,,,,,204.18142193670502,192.73775911552437,598.513351381334,-0.03772087280670911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,377.0,10.0,26.0,1541.0,0.0,645.6408279208011,645.6408279208011,0.0,221.98782539367676,,,,,,,,,,,,,,,,213.35717721687422,203.39073973639535,640.7342755887515,-0.06281130475497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,425.0,11.0,48.0,1589.0,0.0,1488.4504954527222,1488.4504954527222,0.0,225.92037153244019,,,,,,,,,,,,,,,,562.3246192723002,461.0373936795525,1462.921835563215,-0.07350368921793632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,456.0,12.0,31.0,1620.0,0.0,1055.6081042499297,1055.6081042499297,0.0,229.04190015792847,,,,,,,,,,,,,,,,430.5999035703878,327.9667253002538,1043.302810049297,-0.03235322063274005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,478.0,13.0,22.0,1642.0,0.0,603.9449963277381,603.9449963277381,0.0,231.26110458374023,,,,,,,,,,,,,,,,210.19384589021595,189.64514053087998,599.9206523705242,-0.03952266381390731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,499.0,14.0,21.0,1663.0,0.0,651.8650408250452,651.8650408250452,0.0,233.36824798583984,,,,,,,,,,,,,,,,224.6523862583233,211.134118338788,647.79513584947,-0.0431154746067091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,524.0,15.0,25.0,1688.0,0.0,676.77130484641,676.77130484641,0.0,235.67612648010254,,,,,,,,,,,,,,,,231.88632184702513,215.08061586839395,671.6457925928274,-0.052065169924904196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,545.0,16.0,21.0,1709.0,0.0,524.6736604031809,524.6736604031809,0.0,237.7365984916687,,,,,,,,,,,,,,,,161.28030128196258,165.36018905063415,521.8085826589188,-0.0502741627267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,563.0,17.0,18.0,1727.0,0.0,430.026889819869,430.026889819869,0.0,239.6210765838623,,,,,,,,,,,,,,,,116.26520861975028,136.07368760712387,428.3624785432568,-0.05384724181794152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,590.0,18.0,27.0,1754.0,0.0,752.9343522141412,752.9343522141412,0.0,242.11744952201843,,,,,,,,,,,,,,,,252.05814010106974,238.3822393833566,746.875658089502,-0.050266969924904197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
